Marvel's Spider-Man,25,PlayStation 4,Sony,B,Action-adventure,,,NULL,2020,2018,10,,Não,Sim,159
Marvel's Spider-Man: Miles Morales,10,PlayStation 4,Sony,B,Action-adventure,,,NULL,2021,2020,9,,Não,Sim,160
Mega Man - Legacy Collection,2,Nintendo Entertainment System,Nintendo,SS,Platform,"Usei retroceder e abusei do recurso, zerei e é jogão",,NULL,2023,1987,9,,Não,Sim,161
Metal Slug,2,Neo Geo MVS,SNK,S,Run and gun,Amazon Games,,NULL,2022,1996,9,,Não,Não,162
Metal Slug 2,2,Neo Geo MVS,SNK,S,Run and gun,Amazon Games,,NULL,2022,1998,8,,Não,Não,163
Metal Slug 3,2,Neo Geo MVS,SNK,S,Run and gun,Amazon Games,,NULL,2022,2000,9,,Não,Não,164
Metal Slug 4,2,PlayStation 2,Sony,S,Run and gun,,,NULL,2022,2002,8,,Sim,Sim,165
Metal Slug 5,2,PlayStation 2,Sony,S,Run and gun,,,NULL,2022,2003,7,,Sim,Sim,166
Metal Slug 6,1,Playstation 2,Sony,S,Run and gun,,,NULL,2022,2006,7,,Sim,Sim,167
Metal Slug 7,1,Nintendo Ds,Nintendo,S,Run and gun,,,NULL,2023,2008,7,,Sim,Não,168
Metal Slug X,2,Windows 10,Microsoft,S,Run and gun,,,NULL,2020,1999,10,,Não,Sim,169
Metroid: Samus Returns,20,Nintendo 3DS,Nintendo,B,Metroidvania,,,NULL,2021,2007,9,,Sim,Não,170
Metroid: Zero Mission,8,Nintendo GameBoy Advance,Nintendo,B,Metroidvania,,,NULL,2021,2004,11,,Sim,Não,171
Michael Jackson's Moonwalker,1,Arcade,Sega,B,Beat 'em up,,,NULL,2023,1990,7,,Sim,Não,172
Minecraft Dungeons,42,Windows 10,Microsoft,B,Dungeon crawler,,,NULL,2020,2020,9,1000G,Não,Sim,173
Minecraft: Java Edition,0,Windows 10,Microsoft,B,Survival,,,NULL,2011,2011,11,,Sim,Não,174
Minit,3,Windows 10,Microsoft,C,Adventure,,,NULL,2020,2018,7,,Não,Sim,175
Mortal Kombat: Unchained,2,PlayStation Portable,Sony,S,Fighting,,,NULL,2024,2006,6,,Sim,Não,176
My Friend Pedro,6,Windows 10,Microsoft,B,Shoot 'em up,,,NULL,2019,2019,7,,Não,Sim,177
Nano Assault EX,5,Nintendo 3DS,Nintendo,C,Shoot 'em up,Matar o Ultimo Boss,Jogo é bem tranquilo,NULL,2023,2013,7,,Sim,Não,178
Narita Boy,9,Windows 10,Microsoft,B,Action-adventure,,,NULL,2021,2021,7,,Não,Sim,179
New Super Mario Bros,7,Nintendo DS,Nintendo,B,Platform,,,NULL,2023,2006,8,,Sim,Não,180
New Super Mario Bros. 2,6,Nintendo 3DS,Nintendo,C,Platform,,,NULL,2022,2012,7,,Sim,Não,181
Ninja Commando,3,Neo Geo MVS,SNK,B,Shoot 'em up,Amazon Games,,NULL,2023,1992,8,,Não,Não,182
Ori and the Blind Forest: Definitive Edition,18,Windows 10,Microsoft,A,Metroidvania,,,NULL,2020,2015,9,,Não,Sim,183
Ori and the Will of the Wisps,20,Windows 10,Microsoft,A,Metroidvania,,,NULL,2021,2020,10,,Não,Sim,184
Outlast,7,PC | Steam,VALVE,B,Survival horror,,,NULL,2020,2013,8,,Não,Sim,185
Outlast II,8,PC | Steam,VALVE,B,Survival horror,,,NULL,2021,2017,8,,Não,Sim,186
Outlast: Whistleblower,2,PC | Steam,VALVE,B,Survival horror,,,NULL,2020,2013,8,,Não,Sim,187
"Papers, Please",6,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2013,9,,Não,Sim,188
Pepsiman,3,PlayStation 1,Sony,S,Action,Jogo injusto dalhe save-state,,NULL,2023,1999,8,,Sim,Não,189
Persona 3 Reload,200,Xbox Series S,Microsoft,B,RPG,"Zerei 3 vezes porque errei, coloquei no Series foi onde mais joguei",,NULL,2024,2024,11,1000G,Não,Sim,190
Plants vs. Zombies: GOTY Edition,8,PC | Steam,VALVE,B,Tower defense,,,NULL,2021,2009,8,,Não,Sim,191
Pokémon Emerald,60,Nintendo GameBoy Advance,Nintendo,B,RPG,,,NULL,2012,2005,11,,Sim,Não,192
Pokémon FireRed,60,Nintendo GameBoy Advance,Nintendo,B,RPG,,,NULL,2012,2004,11,,Sim,Não,193
Pokémon X,52,Nintendo 3DS,Nintendo,C,RPG,,,NULL,2018,2013,10,,Não,Não,194
Poochy & Yoshi's Woolly World,14,Nintendo 3DS,Nintendo,B,Platform,,,NULL,2023,2017,8,,Sim,Não,195
Portal 1,4,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2007,10,,Não,Sim,196
Portal 2,9,PC | Steam,VALVE,A,Puzzle,,,NULL,2019,2011,10,,Não,Sim,197
Postal 2,12,PC | Steam,VALVE,B,FPS,,,NULL,2019,2003,10,,Não,Sim,198
Power Stone 2,1,Dreamcast,Sega,B,Fighting,Zerei com meu amigo de internet usando RetroArch via remoteplay,,NULL,2023,2000,8,,Sim,Não,199
Press X to Not Die,0,PC | Steam,VALVE,C,FMV,,,NULL,2021,2017,7,,Não,Sim,200
Purikura Daisakusen,1,Sega Saturn,Sega,A,Run and gun,,,NULL,2023,1996,7,,Sim,Não,201
QuackShot Starring Donald Duck,5,Mega Drive,Sega,S,Platform,Matar o Ultimo Boss,Utilizei save stade no meio e no final do ultimo boss,NULL,2023,1991,9,,Sim,Não,202
Radiant Silvergun,2,Sega Saturn,Sega,SS,Shoot 'em up,,,NULL,2023,1998,10,,Sim,Não,203
ReCore: Definitive Edition,15,Windows 10,Microsoft,B,Action-adventure,,,NULL,2019,2016,7,,Não,Sim,204
Red Dead Redemption,18,PlayStation 3,Sony,B,TPS,,,NULL,2019,2010,11,,Não,Sim,205
Red Dead Revolver,8,PlayStation 2,Sony,B,TPS,,,NULL,2018,2004,8,,Sim,Não,206
Resident Evil 4,24,PC | Steam,VALVE,B,Survival Horror,,,NULL,2021,2014,9,,Não,Sim,207
Rime,7,PC | Steam,VALVE,B,Puzzle,,,NULL,2021,2017,7,,Não,Sim,208
Rise of the Tomb Raider,12,Windows 10,Microsoft,B,Action-adventure,,,NULL,2019,2015,9,,Não,Sim,209
Rogue Legacy,66,PC | Steam,VALVE,A,Roguelike,,,NULL,2020,2013,10,,Não,Sim,210
Ryse: Son of Rome,10,PC | Steam,VALVE,C,Hack and slash,,,NULL,2021,2014,6,,Não,Sim,211
Sadame,9,Nintendo 3DS,Nintendo,B,Action-RPG,Matar o Ultimo Boss,,NULL,2023,2016,7,,Sim,Não,212
Sayonara Wild Hearts,1,Apple Arcade | iPhone,Apple,C,Rhythm,,,NULL,2022,2019,8,,Não,Não,213
Sea of Thieves,91,Windows 10,Microsoft,C,Action-adventure,,,NULL,2021,2018,9,,Não,Sim,214
Shadow of the Colossus,12,PlayStation 2,Sony,A,Action-adventure,,,NULL,2012,2005,11,,Sim,Não,215
Shock Troopers,2,Neo Geo MVS,SNK,B,Run and gun,Amazon Games,,NULL,2023,1997,7,,Não,Não,216
Shock Troopers 2nd Squad,2,Neo Geo MVS,SNK,C,Run and gun,Amazon Games,,NULL,2023,1998,8,,Não,Não,217
Sin and Punishment,3,Nintendo 64,Nintendo,A,Rail shooter,,,NULL,2024,2000,8,,Sim,Sim,218
Sonic & All-Stars Racing Transformed,10,PC | Steam,VALVE,C,Racing,,,NULL,2019,2013,7,,Não,Sim,219
Sonic The Hedgehog,4,Mega Drive,Sega,A,Platform,Mega Drive Collection,,NULL,2022,1991,8,,Não,Sim,220
Sonic the Hedgehog 2,3,Mega Drive,Sega,A,Platform,Mega Drive Collection,,NULL,2022,1992,9,,Não,Sim,221
Sonic Wings Special,2,Sega Saturn,Sega,S,Shoot 'em up,,,NULL,2023,1996,8,,Sim,Não,222
Soul Edge,1,PlayStation 1,Sony,B,Fighting,,,NULL,2023,1997,7,,Sim,Não,223
Soulcalibur,2,Dreamcast,Sega,C,Fighting,,,NULL,2023,1998,10,,Sim,Sim,224
SoulCalibur VI,8,PC | Steam,VALVE,B,Fighting,,,NULL,2020,2018,6,,Não,Sim,225
Spore,7,PC | Steam,VALVE,A,God game,,,NULL,2020,2008,8,,Não,Sim,226
Star Fox 3D,1,Nintendo 3DS,Nintendo,C,Rail shooter,,,NULL,2022,2011,7,,Sim,Não,227
Star Soldier: Vanishing Earth,2,Nintendo 64,Nintendo,C,Shoot 'em up,,,NULL,2024,1998,7,,Sim,Sim,228
